cbsa10,cbsaname10,responses,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,total_nz,total_rz,maxden5,maxden4,maxden3,maxden2,maxden1,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,zri_median,zri_range,zri_median_up,zri_range_up,zri_median_st,zri_range_st,zri_median_up_st,zri_range_up_st,cc_zri,noncc_zri_max,zri_diff,zri_abs_diff,zri_full,zri_full_st
22660,"Fort Collins-Loveland, CO Metropolitan Statistical Area",6,0,0,0,0,0,0,1,1,0.333333333,0.333333333,0,0.166666667,0.5,1.833333333,2.166666667,0.5,0.166666667,0.333333333,0,0,0.833333333,28.3,39.6,18.25,18.25,1.6,1.333333333,2.34078937,1.433715855,1.890084019,1.271930832,0.382375435,0.019375535,0.336872905,0.119278993,NA,NA,NA,NA,NA,NA
22900,"Fort Smith, AR-OK Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.5,0,0.5,0,0.5,0,0,22.5,22.5,4.625,6.5,1.75,1.5,0.141802713,1.326252045,-0.130093011,0.933113019,-2.5112787,-0.06800062,-2.316607911,-0.246117001,NA,NA,NA,NA,NA,NA
23060,"Fort Wayne, IN Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,0,1,0,0,1,45,50,NA,NA,2,2,2.343510902,0,1.839631081,0.50387982,0.385956708,-1.146343219,0.270603513,-0.709020915,2.343510902,NA,NA,NA,NA,NA
23420,"Fresno, CA Metropolitan Statistical Area",6,0.166666667,0.166666667,0.333333333,0.333333333,0.166666667,0.166666667,1,0.666666667,0.666666667,0.333333333,0.166666667,0.166666667,0.333333333,2.5,2,0.166666667,0.666666667,0,0.166666667,0,0.833333333,32.91666667,33.33333333,2.1,2,1.166666667,1,2.360660198,4.260223071,2.359547641,3.892696261,0.408523527,2.317538351,0.953508326,2.945627414,4.230468748,4.767168099,0.536699351,0.536699351,2.897359549,0.458855114
23460,"Gadsden, AL Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0.5,0,2.5,3,0.5,0.5,0,0,0,0,32.25,40,3,3,1,1,2.218703757,2.516319911,1.498669963,1.58790572,0.221722556,0.899614004,-0.177245251,0.460040176,NA,NA,NA,NA,NA,NA
23540,"Gainesville, FL Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,0,1,0,0,0,1,54,18,3,3,2,1,2.972516184,0,2.733055527,0.239460657,1.213666931,-1.146343219,1.44410692,-0.994182141,2.972516184,NA,NA,NA,NA,NA
23900,"Gettysburg, PA Micropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,48,48,2,2,2,1,1.821208991,0,1.041941487,0.779267504,-0.301342179,-1.146343219,-0.777153196,-0.412030754,1.821208991,NA,NA,NA,NA,NA
24020,"Glens Falls, NY Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4,0,0,0,1,0,0,35,35,0.5,0.5,2,2,0.821815222,0,0.125452879,0.696362343,-1.616447891,-1.146343219,-1.980951131,-0.501439317,NA,NA,NA,NA,NA,NA
24140,"Goldsboro, NC Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,0,1,0,0,0,1,25,25,NA,NA,2,2,2.65271987,0,2.223549239,0.429170631,0.792845857,-1.146343219,0.774875887,-0.789590582,2.65271987,NA,NA,NA,NA,NA
24220,"Grand Forks, ND-MN Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,1,0,0,24,15,NA,NA,7.5,9,0.630316724,0,-0.163403193,0.793719917,-1.868441425,-1.146343219,-2.360360477,-0.396444639,NA,NA,NA,NA,NA,NA
24260,"Grand Island, NE Micropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,30,30,14,14,2,2,2.878080636,0,1.825106286,1.05297435,1.089398868,-1.146343219,0.251525351,-0.116853283,2.878080636,NA,NA,NA,NA,NA
24300,"Grand Junction, CO Metropolitan Statistical Area",2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,0.5,0.5,0,0,0,1,23.25,25,1,1,2,1,2.82526607,0.3450924,2.386520587,0.104402933,1.019899998,-0.865757159,0.988937001,-1.139834316,NA,NA,NA,NA,NA,NA
24340,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",12,0,0,0,0,0,0,1,0.833333333,0.083333333,0.25,0.166666667,0.25,0.333333333,1.75,3,0.5,0.25,0.166666667,0,0.083333333,0.166666667,31.5,32.5,3.395833333,4.375,1.979166667,1.583333333,2.224316387,2.324026916,1.517872527,1.462769359,0.229108235,0.743265346,-0.152022889,0.325087633,2.452235437,2.99781227,0.545576833,0.545576833,2.76989322,0.369803613
24500,"Great Falls, MT Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,3,3,1,0,0,0,0,1,35,35,NA,NA,2,1,2.217050146,0,1.85142774,0.365622406,0.219546564,-1.146343219,0.286098298,-0.858123776,2.217050146,NA,NA,NA,NA,NA
24540,"Greeley, CO Metropolitan Statistical Area",7,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,1,0.857142857,0.285714286,0.285714286,0.142857143,0.142857143,0.428571429,2,2.857142857,0.428571429,0.285714286,0.285714286,0,0,0.714285714,27.75,34,2,2,1.821428571,1.285714286,2.703468625,1.858378481,2.183656239,1.521721112,0.859626319,0.364658168,0.72247686,0.38866379,NA,NA,NA,NA,NA,NA
24580,"Green Bay, WI Metropolitan Statistical Area",5,0,0,0,0,0,0,1,0.8,0.2,0.6,0.2,0,0.2,2.4,3,0.4,0.2,0.2,0.2,0,0.2,26.2,30,2.25,2,1.7,1.4,1.951527971,3.123294425,1.654381933,1.982354939,-0.129854984,1.393129906,0.027280748,0.885431519,1.951527971,3.393653426,1.442125455,1.442125455,3.393653426,0.805579737
24660,"Greensboro-High Point, NC Metropolitan Statistical Area",6,0,0,0,0,0,0,1,0.5,0,0.166666667,0,0.333333333,0.5,1.833333333,2.666666667,0.333333333,0.166666667,0.333333333,0.166666667,0,0.666666667,39,41.5,2.833333333,2.666666667,2.375,2.5,2.000912351,2.72745327,1.51110968,2.281307075,-0.064869907,1.071281294,-0.160905817,1.207834618,2.341489738,1.79205468,-0.549435057,0.549435057,1.451477294,-0.551278202
24780,"Greenville, NC Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,0,0,1,0,0,0,81,12,NA,NA,2,1,1.131024191,0,0.54670154,0.58432265,-1.209558742,-1.146343219,-1.427645543,-0.622267838,NA,NA,NA,NA,NA,NA
24860,"Greenville-Mauldin-Easley, SC Metropolitan Statistical Area",5,0,0,0,0,0,0,1,0.6,0,0.8,0.2,0,0,2.4,2.6,0,1,0,0,0,0.6,35.5,31,2,2,1.85,1.4,1.476116591,0.907773882,1.097724482,0.611833955,-0.75545046,-0.408254821,-0.703882831,-0.59259844,NA,NA,NA,NA,NA,NA
25060,"Gulfport-Biloxi, MS Metropolitan Statistical Area",3,0,0,0,0,0,0,1,1,0.666666667,0.666666667,0,0,0.333333333,2,2.666666667,1,0,0,0,0,0.666666667,37.83333333,33.33333333,2.5,2.5,1.166666667,1.333333333,2.692461527,2.995153191,2.360642165,2.001185168,0.84514204,1.288941452,0.954945971,0.905738864,3.280763166,0.873911614,-2.406851552,2.406851552,0.285609975,-1.365785343
25180,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,3,1,0,0,0,0,0,60,150,4,3,2,2,1.821208991,0,1.051976922,0.76923207,-0.301342179,-1.146343219,-0.76397176,-0.422853407,1.821208991,NA,NA,NA,NA,NA
25220,"Hammond, LA Micropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,45,45,2,2,2,1,0.75417998,0,0.854701396,0.100521416,-1.705449339,-1.146343219,-1.023091042,-1.144020315,NA,NA,NA,NA,NA,NA
25260,"Hanford-Corcoran, CA Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0,0,2,2,0.5,0.5,0,0,0,1,12,12,2.25,2,3,1.5,1.669067567,0.777454903,1.604109032,0.628924238,-0.501545605,-0.514213947,-0.038752167,-0.574167529,NA,NA,NA,NA,NA,NA
