GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,zri_st,add_index,zri_up,zri_up_st,wt_all_2019,st_wt_all_2019,wt_msa_2019,st_wt_msa_2019,wt_lmsa_2019,st_wt_lmsa_2019,timestamp
4214064,PA,Clearfield,Borough,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,35,35,3,3,1,1,1,1,0,0,0,0,0,0,1,2,2,1,0,0,42,42,35,1,1,0.049086297,-0.882429958,1.150021136,-0.864541305,6,0.822854881,-0.83295614,10.78227712,0.681739166,NA,NA,NA,NA,12/16/2021 16:13
4214712,PA,Coatesville,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,1,47.5,250,2,2,2,1,0.5,1,0,0,0,0,0,1,1,3,3,1,0,1,28,28,47.5,2,0.5,1.0405368,0.164805906,2.217050146,0.26894106,10,1.854140381,0.344087436,2.932628323,0.185423502,2.864154876,0.32469555,9.699676802,1.498117621,12/8/2021 9:37
4215192,PA,Collegeville,Borough,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,22.5,35,NA,NA,2.5,2,0.714285714,1,0,0,0,0,0,1,1,2,3,1,0,0,NA,NA,22.5,2.5,0.714285714,-0.942364207,0.688423838,1.821208991,-0.151552633,8,1.101769455,-0.514620813,4.601052473,0.290914214,4.660125952,0.528296207,3.185228584,0.491959389,8/12/2020 21:42
4215384,PA,Columbia,Borough,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,6,6,1.5,1,0.333333333,1,0,0,0,0,0,1,3,2,3,1,0,0,84,84,35,1.5,0.333333333,0.049086297,-0.358812026,2.605611177,0.68170123,10,1.723264457,0.194713993,8.342862037,0.527500429,6.790978447,0.769860771,1.009912372,0.168318729,8/12/2020 21:54
4215488,PA,ConcordTownship,Township,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,40,40,2,1,1.55,1,0.416666667,1,0,0,0,0,0,1,3,2,3,1,0,0,28,14,40,1.55,0.416666667,0.445666498,-0.306450233,2.605611177,0.68170123,10,1.729857014,0.202238318,3.499871746,0.22128903,3.786412751,0.429247517,8.739884769,1.349877491,8/12/2020 22:06
4215848,PA,Conshohocken,Borough,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,35,35,2,2,2,1,0.333333333,1,0,0,0,0,0,1,4,3,3,1,0,0,28,28,35,2,0.333333333,0.049086297,0.164805906,3.393653426,1.518821853,12,2.275057776,0.824495738,2.158367563,0.136468733,2.61149999,0.296053273,2.310573801,0.356868728,8/12/2020 21:59
4216056,PA,Coopersburg,Borough,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,35,35,NA,NA,2,2,0.333333333,0,1,0,0,0,0,1,1,0,1,2,0,0,NA,NA,35,2,0.333333333,0.049086297,0.164805906,0.373204148,-1.689737572,5,0.24852009,-1.488465286,11.84932349,0.749206112,10.7851241,1.222657975,5.909149486,0.773159746,8/12/2020 22:13
4216128,PA,Coplay,Borough,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,47.5,60,NA,NA,1,1,0.25,0,1,0,0,0,0,1,2,2,3,2,0,0,NA,NA,47.5,1,0.25,1.0405368,-0.882429958,1.868317684,-0.101510064,10,1.159712462,-0.448488356,19.25076249,1.217182477,14.55261085,1.649759941,6.410153513,0.838711675,12/8/2021 10:53
4216144,PA,Coraopolis,Borough,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,22.5,35,2,2,2,2,0.666666667,1,0,0,0,0,0,0,1,2,3,1,0,0,28,28,22.5,2,0.666666667,-0.942364207,0.164805906,1.305636202,-0.69923471,7,0.706977458,-0.96521125,6.739359718,0.426114579,5.225392773,0.592377805,6.196011899,0.599174777,3/11/2021 14:24
4216920,PA,CranberryButler,Township,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,35,50,2,2,3,1,0.538461538,1,0,0,0,0,0,1,2,2,3,1,0,1,28,28,35,3,0.538461538,0.049086297,1.21204177,2.213410084,0.265074298,10,1.83499398,0.322234954,4.372157635,0.276441708,4.121091291,0.467188424,1.187088917,0.114795412,8/12/2020 22:30
