"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","11680","10760","AL","Camp Hill town, AL","Alexander City, AL Micropolitan Statistical Area",1014,1 
"01","12016","13820","AL","Carbon Hill city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2021,1 
"01","12040","13820","AL","Cardiff town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",55,1 
"01","12070","23460","AL","Carlisle-Rockledge CDP, AL","Gadsden, AL Metropolitan Statistical Area",2137,1 
"01","12112","99999","AL","Carlton CDP, AL","99999",65,1 
"01","12160","99999","AL","Carolina town, AL","99999",297,1 
"01","12304","99999","AL","Carrollton town, AL","99999",1019,1 
"01","12496","99999","AL","Castleberry town, AL","99999",583,1 
"01","12544","99999","AL","Catherine CDP, AL","99999",22,1 
"01","12760","99999","AL","Cedar Bluff town, AL","99999",1820,1 
"01","13264","13820","AL","Center Point city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",16921,1 
"01","13648","99999","AL","Centre city, AL","99999",3489,1 
"01","13672","13820","AL","Centreville city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2778,1 
"01","14008","99999","AL","Chatom town, AL","99999",1288,1 
"01","14104","13820","AL","Chelsea city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",10183,1 
"01","14152","22520","AL","Cherokee town, AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",1048,1 
"01","14392","33660","AL","Chickasaw city, AL","Mobile, AL Metropolitan Statistical Area",6106,1 
"01","14464","45180","AL","Childersburg city, AL","Talladega-Sylacauga, AL Micropolitan Statistical Area",5175,1 
"01","14728","11500","AL","Choccolocco CDP, AL","Anniston-Oxford, AL Metropolitan Statistical Area",2804,1 
"01","14968","33660","AL","Chunchula CDP, AL","Mobile, AL Metropolitan Statistical Area",210,1 
"01","15064","33660","AL","Citronelle city, AL","Mobile, AL Metropolitan Statistical Area",3905,1 
"01","15136","13820","AL","Clanton city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",8619,1 
"01","15256","13820","AL","Clay city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",9708,1 
"01","15304","21460","AL","Clayhatchee town, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",589,1 
"01","15376","21640","AL","Clayton town, AL","Eufaula, AL-GA Micropolitan Statistical Area",3008,1 
"01","15472","13820","AL","Cleveland town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1303,1 
"01","15640","21640","AL","Clio city, AL","Eufaula, AL-GA Micropolitan Statistical Area",1399,1 
"01","16000","46220","AL","Coaling town, AL","Tuscaloosa, AL Metropolitan Statistical Area",1657,1 
"01","16080","23460","AL","Coats Bend CDP, AL","Gadsden, AL Metropolitan Statistical Area",1394,1 
"01","16240","20020","AL","Coffee Springs town, AL","Dothan, AL Metropolitan Statistical Area",228,1 
"01","16264","99999","AL","Coffeeville town, AL","99999",352,1 
"01","16312","46220","AL","Coker town, AL","Tuscaloosa, AL Metropolitan Statistical Area",979,1 
"01","16600","22840","AL","Collinsville town, AL","Fort Payne, AL Micropolitan Statistical Area",1962,0.989 
"01","16600","99999","AL","Collinsville town, AL","99999",21,0.011 
"01","16684","18980","AL","Colony town, AL","Cullman, AL Micropolitan Statistical Area",268,1 
"01","16744","20020","AL","Columbia town, AL","Dothan, AL Metropolitan Statistical Area",740,1 
"01","16768","13820","AL","Columbiana city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",4197,1 
"01","16936","13820","AL","Concord CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1837,1 
"01","17176","33860","AL","Coosada town, AL","Montgomery, AL Metropolitan Statistical Area",1224,1 
